orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,Population de l'Aire de Santé
République Démocratique du Congo,sk Sud Kivu Province,sk Lulingu Zone de Santé,sk Maranatha Aire de Santé,Y1vwDiSW7yt,sk Maranatha Aire de Santé,62250312,,2020,2020,2020,,
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Aboso Aire de Santé,pCfpKXoGBF8,bu Aboso Aire de Santé,52320101,,2020,2020,2020,,8314
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Agemeto Aire de Santé,rLjX1yx1PzR,bu Agemeto Aire de Santé,52310201,,2020,2020,2020,,6701
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Agri Uele Aire de Santé,PmQL4SeDB6D,bu Agri Uele Aire de Santé,52350101,,2020,2020,2020,,16613
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Ahaupa Aire de Santé,xHUtSvQPsen,bu Ahaupa Aire de Santé,52320102,,2020,2020,2020,,9566
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Akpudu Aire de Santé,TRIsG773bii,bu Akpudu Aire de Santé,52360201,,2020,2020,2020,,5451
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Amadi Aire de Santé,Kaq7qng7HMj,bu Amadi Aire de Santé,52360101,,2020,2020,2020,,18161
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Andea Aire de Santé,u3ShgO0ra3u,bu Andea Aire de Santé,52320103,,2020,2020,2020,,6724
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Andoma Aire de Santé,W6iHRiRggZf,bu Andoma Aire de Santé,52310202,,2020,2020,2020,,11292
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Api 2 Aire de Santé,ivCmDHOnJWp,bu Api 2 Aire de Santé,52330201,,2020,2020,2020,,4658
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Api Aire de Santé,JzllAJFi4Dq,bu Api Aire de Santé,52340101,,2020,2020,2020,,5202
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Assa Aire de Santé,Vhj83FOXMaZ,bu Assa Aire de Santé,52340102,,2020,2020,2020,,4032
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Azande Aire de Santé,y0wzhRoXhDD,bu Azande Aire de Santé,52320201,,2020,2020,2020,,7387
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Azapana Aire de Santé,U8m4YlvRwRE,bu Azapana Aire de Santé,52360102,,2020,2020,2020,,6550
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Baepulu Aire de Santé,YQzmc3EVElV,bu Baepulu Aire de Santé,52340103,,2020,2020,2020,,10579
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Bale Aire de Santé,GvjnNnx5I8T,bu Bale Aire de Santé,52310101,,2020,2020,2020,,8973
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Balele Aire de Santé,zoauaKitcvr,bu Balele Aire de Santé,52360103,,2020,2020,2020,,2806
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Balengolu Aire de Santé,lKt31FEDsz5,bu Balengolu Aire de Santé,52360104,,2020,2020,2020,,5129
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Bamaria Aire de Santé,CEKJTeDVOKT,bu Bamaria Aire de Santé,52310102,,2020,2020,2020,,6951
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Bambesa Aire de Santé,aScUWDteVTz,bu Bambesa Aire de Santé,52350102,,2020,2020,2020,,11986
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Bambili Aire de Santé,Pq9JDrVjNpA,bu Bambili Aire de Santé,52350103,,2020,2020,2020,,19381
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Bambilo Aire de Santé,T1f9d7EIxRG,bu Bambilo Aire de Santé,52330202,,2020,2020,2020,,5580
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Banda Aire de Santé,n6GUa4jPasW,bu Banda Aire de Santé,52340104,,2020,2020,2020,,11339
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Bandueli Aire de Santé,t89zd8Oq91N,bu Bandueli Aire de Santé,52340105,,2020,2020,2020,,5768
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Basokpio Aire de Santé,JxSjeGqjnYs,bu Basokpio Aire de Santé,52330203,,2020,2020,2020,,5953
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Baye Aire de Santé,JZqIqfDRTFH,bu Baye Aire de Santé,52330101,,2020,2020,2020,,29117
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Bayule Aire de Santé,qbEd1COmN8W,bu Bayule Aire de Santé,52340106,,2020,2020,2020,,5105
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Bela Aire de Santé,Dm3PJBgRVAU,bu Bela Aire de Santé,52330301,,2020,2020,2020,,11070
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Biasu Aire de Santé,rrsNjqU2pdS,bu Biasu Aire de Santé,52330302,,2020,2020,2020,,10766
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Bika Aire de Santé,CWWsfzCK2OY,bu Bika Aire de Santé,52330204,,2020,2020,2020,,3860
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Boganga Aire de Santé,Pww7wcs85ux,bu Boganga Aire de Santé,52320104,,2020,2020,2020,,9947
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Bokoyo Aire de Santé,l8jztHpvwX7,bu Bokoyo Aire de Santé,52340107,,2020,2020,2020,,2802
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Bombongolo Aire de Santé,GZP29KfCDnB,bu Bombongolo Aire de Santé,52320105,,2020,2020,2020,,8411
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Bomea Aire de Santé,ZuRG5IO5iwU,bu Bomea Aire de Santé,52310103,,2020,2020,2020,,7105
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Bondeko Aire de Santé,SoymXbxU3nG,bu Bondeko Aire de Santé,52330303,,2020,2020,2020,,9624
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Bondunga Aire de Santé,C0tnhYmRpHv,bu Bondunga Aire de Santé,52320106,,2020,2020,2020,,8066
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Bonzengo Aire de Santé,C2WCaMjzQUJ,bu Bonzengo Aire de Santé,52320107,,2020,2020,2020,,6688
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Bulumasi  Aire de Santé,sp58j5YBfuK,bu Bulumasi  Aire de Santé,52330205,,2020,2020,2020,,8554
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Bunduki Aire de Santé,QAEKX98nmri,bu Bunduki Aire de Santé,52320108,,2020,2020,2020,,8320
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Buye Aire de Santé,ocsmvPBxfv6,bu Buye Aire de Santé,52340108,,2020,2020,2020,,4804
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Dakwa Aire de Santé,ZP9qxPbvhiI,bu Dakwa Aire de Santé,52340109,,2020,2020,2020,,9942
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Danga Aire de Santé,xXu4T1SV9ae,bu Danga Aire de Santé,52350104,,2020,2020,2020,,6787
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Dekere Aire de Santé,ZmPrsrNkKia,bu Dekere Aire de Santé,52330102,,2020,2020,2020,,5788
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Dembia Aire de Santé,MTQqtvQWI67,bu Dembia Aire de Santé,52350105,,2020,2020,2020,,7538
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Dengu Aire de Santé,sOO0qB1R4pR,bu Dengu Aire de Santé,52330103,,2020,2020,2020,,7104
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Diabandigba Aire de Santé,d6TLCnJXGIr,bu Diabandigba Aire de Santé,52360202,,2020,2020,2020,,3311
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Difongo Aire de Santé,U7afSVbw7pT,bu Difongo Aire de Santé,52320202,,2020,2020,2020,,3953
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Digba Aire de Santé,ZhdDD8TH8oH,bu Digba Aire de Santé,52340110,,2020,2020,2020,,6677
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Disolo Aire de Santé,jADqRUN5PGt,bu Disolo Aire de Santé,52340111,,2020,2020,2020,,5828
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Doromo Aire de Santé,DTca5oMrZ7K,bu Doromo Aire de Santé,52350106,,2020,2020,2020,,9638
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Dulia Aire de Santé,JOCatpaWvYU,bu Dulia Aire de Santé,52320109,,2020,2020,2020,,9399
